Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
enY\B@@DKL`ONmlbbTTRRTtTlJTTrRVfbbT\n~IYZ`hJbjjfBB@H`C@aZHJ@@	1lee	531.695	4.7922	-6.134	7	4	430.15	113.68	none	none	high	39	3	13	CC(C)C[C@@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)NC(c1cc(N)ccc1)=O	InChI=1S/C32H41N3O4/c1-21(2)16-27(34-32(38)25-14-9-15-26(33)18-25)19-29(36)28(17-24-12-6-5-7-13-24)35-30(37)20-39-31-22(3)10-8-11-23(31)4/h5-15,18,21,27-29,36H,16-17,19-20,33H2,1-4H3,(H,34,38)(H,35,37)/t27-,28-,29-/m0/s1	WQUBEIMCFHCJCO-AWCRTANDSA-N	
ei[TFH@LBHDO@lb`@cIICEEDhdeDeLedeEhllmiCIocdR^VQUjjjjhJBB@@@@B@BJIqIHY@@	1ajv	574.696	4.2866	-4.732	8	2	425.96	107.92	none	none	none	41	4	10	O[C@@H]([C@@H](COc1ccccc1)N(Cc1ccccc1)S(N(Cc1ccccc1)[C@@H]1COc2ccccc2)(=O)=O)[C@H]1O	InChI=1S/C32H34N2O6S/c35-31-29(23-39-27-17-9-3-10-18-27)33(21-25-13-5-1-6-14-25)41(37,38)34(22-26-15-7-2-8-16-26)30(32(31)36)24-40-28-19-11-4-12-20-28/h1-20,29-32,35-36H,21-24H2/t29-,30-,31-,32-/m1/s1	CAGHBXQSDLNCES-SEVDZJIVSA-N	
ekPtFDHAN^KOBfn`IABPygHiMEDmEDhddhbSDddeEDdeeGDaa]USZhFBhjjfjjjh@@@HDMDl`@	1j4r	625.730	4.3995	-5.284	8	1	475.36	88.44	none	none	none	45	2	16	COc1cc(C(C(N(CCCC2)[C@@H]2C(O[C@@H](CCCc2ccccc2)CCCc2c[nH+]ccc2)=O)=O)(F)F)cc(OC)c1OC	InChI=1S/C35H42F2N2O6/c1-42-30-22-27(23-31(43-2)32(30)44-3)35(36,37)34(41)39-21-8-7-19-29(39)33(40)45-28(17-9-14-25-12-5-4-6-13-25)18-10-15-26-16-11-20-38-24-26/h4-6,11-13,16,20,22-24,28-29H,7-10,14-15,17-19,21H2,1-3H3/p+1/t28-,29-/m0/s1	NBYCDVVSYOMFMS-VMPREFPWSA-O	
edrzN@@LFhY]PDMJ`QU\bbRdTlVTTRTRJfbRbQVbbb\RQPwvH\[UUUUAPMDE@tUSM@@AQPiHxidR`@	1izh	687.835	3.1016	-6.139	12	6	541.55	202.94	none	none	none	50	5	20	CC(C)(C)OC(N[C@@H](Cc1ccccc1)[C@H](C[C@@H](Cc1ccccc1)C(N[C@@H](CCC(N)=O)C(N[C@@H](Cc1ccccc1)C(N)=O)=O)=O)O)=O	InChI=1S/C38H49N5O7/c1-38(2,3)50-37(49)43-30(22-26-15-9-5-10-16-26)32(44)24-28(21-25-13-7-4-8-14-25)35(47)41-29(19-20-33(39)45)36(48)42-31(34(40)46)23-27-17-11-6-12-18-27/h4-18,28-32,44H,19-24H2,1-3H3,(H2,39,45)(H2,40,46)(H,41,47)(H,42,48)(H,43,49)/t28-,29+,30+,31+,32+/m1/s1	WWTORRPIIMGMSP-LIRVCHIBSA-N	
eeWTJ@@DL@GDaYTfYfVUYVy^UWWw|SRXF{GxeEejjjjhJ@@@@@BJh@HHcDDfd@@	1mes	566.696	4.1109	-5.234	7	4	435.35	104.47	none	none	none	42	4	10	OCc1ccc(CN([C@H](Cc2ccccc2)[C@@H]([C@H]([C@@H](Cc2ccccc2)N2Cc3ccc(CO)cc3)O)O)C2=O)cc1	InChI=1S/C35H38N2O5/c38-23-29-15-11-27(12-16-29)21-36-31(19-25-7-3-1-4-8-25)33(40)34(41)32(20-26-9-5-2-6-10-26)37(35(36)42)22-28-13-17-30(24-39)18-14-28/h1-18,31-34,38-41H,19-24H2/t31-,32-,33-,34-/m1/s1	XCVGQMUMMDXKCY-YFRBGRBWSA-N	
f`qHbDJLeXb`QDiRYf}[e`g^iZjVjh@@	1uou	243.673	-1.5187	-1.892	6	3	159.83	87.23	high	low	none	16	0	2	NC1=[N+](CC(NC(NC2=O)=O)=C2Cl)CCC1	InChI=1S/C9H11ClN4O2/c10-7-5(12-9(16)13-8(7)15)4-14-3-1-2-6(14)11/h11H,1-4H2,(H2,12,13,15,16)/p+1	QQHMKNYGKVVGCZ-UHFFFAOYSA-O	
fkwiRDLZSl|DJMD@Qn\ddJTRbVLTJTRVTGMZjijjZ`@fDTcd@	1w0z	428.532	-0.4115	-2.07	10	6	308.47	184.59	none	none	none	29	2	11	CCCCS(N[C@H](CO)C(N[C@@H](C)C(NCc(cc1)ccc1C(N)=[NH2+])=O)=O)(=O)=O	InChI=1S/C18H29N5O5S/c1-3-4-9-29(27,28)23-15(11-24)18(26)22-12(2)17(25)21-10-13-5-7-14(8-6-13)16(19)20/h5-8,12,15,23-24H,3-4,9-11H2,1-2H3,(H3,19,20)(H,21,25)(H,22,26)/p+1/t12-,15+/m0/s1	GDNHYCQJIXDFDC-SWLSCSKDSA-O	
fewpbBNBTGHHcda{HhheDblhhmMhdrVcIJN\DCETDDUTI@@@	1o2q	369.851	2.5459	-4.95	5	3	256.26	99.69	high	none	none	26	0	4	NC(c(cc(cc(-c(cccc1OC2CCCC2)c1[O-])[nH]1)c1c1)c1Cl)=[NH2+]	InChI=1S/C20H20ClN3O2/c21-15-10-16-11(8-14(15)20(22)23)9-17(24-16)13-6-3-7-18(19(13)25)26-12-4-1-2-5-12/h3,6-10,12,24-25H,1-2,4-5H2,(H3,22,23)	QXAURVOBXQBPAP-UHFFFAOYSA-N	
fmgIbDM]fmbl`bIsdTRTRtVbTRRRjeNEk@DTuUUTtq@@@	1t4v	395.909	3.0303	-3.893	7	3	293.89	102.41	none	none	none	27	0	10	C=CCN(C1CCCC1)C(c1cc(Cl)cc(OCCCONC(N)=[NH2+])c1)=O	InChI=1S/C19H27ClN4O3/c1-2-8-24(16-6-3-4-7-16)18(25)14-11-15(20)13-17(12-14)26-9-5-10-27-23-19(21)22/h2,11-13,16H,1,3-10H2,(H4,21,22,23)/p+1	XWIUMAPBZWNFNV-UHFFFAOYSA-O	
ekPzJ@@DE@ho`OFga\bbbRRfbTRVVbdMbbrbbRbbDTRjyMeUZijhI`hjjijB`jbBXxVTvTJIUJ`h`	2bpv	619.804	2.6361	-3.573	10	4	485.28	135.1	none	none	none	45	6	12	C[C@@H](CC[C@H]1O)[C@@H]1NC([C@@H](C[C@@H](CN(CCN(C1)C(/C=C/c2cnccc2)=O)[C@@H]1C(NC(C)(C)C)=O)O)Cc1ccccc1)=O	InChI=1S/C35H49N5O5/c1-24-12-14-30(42)32(24)37-33(44)27(19-25-9-6-5-7-10-25)20-28(41)22-39-17-18-40(23-29(39)34(45)38-35(2,3)4)31(43)15-13-26-11-8-16-36-21-26/h5-11,13,15-16,21,24,27-30,32,41-42H,12,14,17-20,22-23H2,1-4H3,(H,37,44)(H,38,45)/t24-,27+,28-,29-,30+,32-/m0/s1	MZRXCKYLBGADET-FJPQDTJVSA-N	
ejy|E@LLnjPDFJmmPxt|tNc{OlbfbbRRRRvRTtRTTLRbrttTTVbbDT\BaQIY}KZBBBBJiji`@@b`ZAf@@`Z`@	1nny	716.721	-2.2055	-8.842	13	2	541.61	208.13	high	high	none	53	1	16	CC(N[C@@H](Cc(c1ccccc11)ccc1N(C(C([O-])=O)=O)c(cccc1)c1C([O-])=O)C(NCCCCCOc1cc2ccccc2cc1C([O-])=O)=O)=O	InChI=1S/C40H37N3O10/c1-24(44)42-32(36(45)41-19-9-2-10-20-53-35-23-26-12-4-3-11-25(26)21-31(35)39(49)50)22-27-17-18-34(29-14-6-5-13-28(27)29)43(37(46)40(51)52)33-16-8-7-15-30(33)38(47)48/h3-8,11-18,21,23,32H,2,9-10,19-20,22H2,1H3,(H,41,45)(H,42,44)(H,47,48)(H,49,50)(H,51,52)/p-3/t32-/m0/s1	URRKGBLRIVECAH-YTTGMZPUSA-K	
eolZLDHLK@mchDC@@a`HvgIIBhhdhdmdcDeMDeMKGDlaekgejfjZBB@@HB@`hP@	1f0r	454.554	-0.1489	-4.159	8	3	301.6	156.15	none	none	none	31	1	4	Nc1c(cc(CN(CC[C@@H]2NS(c3cc(nccc4)c4s3)(=O)=O)C2=O)cc2)c2cc[nH+]1	InChI=1S/C21H19N5O3S2/c22-20-15-10-13(3-4-14(15)5-8-24-20)12-26-9-6-16(21(26)27)25-31(28,29)19-11-17-18(30-19)2-1-7-23-17/h1-5,7-8,10-11,16,25H,6,9,12H2,(H2,22,24)/p+1/t16-/m0/s1	NVKDOURNRJCKJE-INIZCTEOSA-O	
elT\NHHJHihDEMCNg`OAClddLRRbbftJTtlRbeTZjjYjjjfjijb@EaKHM@@	1ppk	518.609	-0.2034	-1.79	10	3	413.06	163.54	none	none	none	35	4	16	CCOC(C[P@]([C@H](CC(C)C)NC([C@H](C(C)C)NC([C@H](C(C)C)NC(CC(C)C)=O)=O)=O)([O-])=O)=O	InChI=1S/C24H46N3O7P/c1-10-34-20(29)13-35(32,33)19(12-15(4)5)26-23(30)22(17(8)9)27-24(31)21(16(6)7)25-18(28)11-14(2)3/h14-17,19,21-22H,10-13H2,1-9H3,(H,25,28)(H,26,30)(H,27,31)(H,32,33)/p-1/t19-,21+,22+/m1/s1	GSDBAIBPJKAZKN-HJNYFJLDSA-M	
fmwqbDLEWAG`AByrRPjJIIKQXiJIKSkAfmZ`@@Hjh@@@@@	1uvt	384.479	0.3959	-3.808	6	3	281.85	89.95	none	none	none	27	0	7	Cc1cc(NS(c2ccccc2)(=O)=O)cc(OCCNc2cc[nH+]cc2)c1	InChI=1S/C20H21N3O3S/c1-16-13-18(23-27(24,25)20-5-3-2-4-6-20)15-19(14-16)26-12-11-22-17-7-9-21-10-8-17/h2-10,13-15,23H,11-12H2,1H3,(H,21,22)/p+1	MPTWCWHNLVMCRW-UHFFFAOYSA-O	
ebV\FH@LLdXDOHahP@cIICEDdeEEGEehiddmBXeXx|BmTEAUQUSAACQBBdB`@	2psu	517.645	1.8426	-3.047	9	3	391.51	133.42	none	none	none	36	2	13	CNC(CCC(N[C@@H](Cc1ccccc1)[C@@H](CN(CC1CC1)S(c1cc(OC)ccc1)(=O)=O)O)=O)=O	InChI=1S/C26H35N3O6S/c1-27-25(31)13-14-26(32)28-23(15-19-7-4-3-5-8-19)24(30)18-29(17-20-11-12-20)36(33,34)22-10-6-9-21(16-22)35-2/h3-10,16,20,23-24,30H,11-15,17-18H2,1-2H3,(H,27,31)(H,28,32)/t23-,24+/m0/s1	XCGCXCBWFPNYSI-BJKOFHAPSA-N	
fmy@BDFSdm^`MM^rJIJIIJYZJIJiQU`yKTkYkZhHJIfjZhZ`P]@	3be9	363.424	1.1658	-4.992	8	3	247.4	83.06	none	none	none	27	0	1	O=C(CCCCC(C1=N2)=C[N-]N1C(NC1CC1)=N/C2=[NH+]1)Nc2cc1ccc2	InChI=1S/C19H21N7O/c27-16-7-2-1-4-12-11-20-26-17(12)24-18(25-19(26)23-13-8-9-13)22-15-6-3-5-14(10-15)21-16/h3,5-6,10-11,13H,1-2,4,7-9H2,(H3,20,21,22,23,24,25,27)	RBFYRFXANWTSEG-UHFFFAOYSA-N	
fewD@D@TYqVcEKJRsJ||jsj{NRUDkQ|uKUUTDDTp@@	2pvl	349.421	-0.3814	-4.613	8	2	289.92	86.58	none	none	none	26	0	4	CC[NH+](CC1)CCN1c(nc(Nc1ccccc1)n1nc2)nc1c2C#N	InChI=1S/C18H20N8/c1-2-24-8-10-25(11-9-24)17-22-16-14(12-19)13-20-26(16)18(23-17)21-15-6-4-3-5-7-15/h3-7,13H,2,8-11H2,1H3,(H,21,22,23)/p+1	BIFHJPUTQBOBGJ-UHFFFAOYSA-O	
e`\RHDHIKGom@HabH^gHhdhbeMEDddhidYiQqyETMm]@DUMMQ@AAC@@@@	1lpz	466.391	4.9268	-5.031	5	3	328.49	85.64	none	none	high	32	0	6	Cc1cccc2c1cc(C(NCc1cc(Cl)cc(Cl)c1)=O)n2Cc1cc(C(N)=[NH2+])ccc1	InChI=1S/C25H22Cl2N4O/c1-15-4-2-7-22-21(15)12-23(25(32)30-13-17-9-19(26)11-20(27)10-17)31(22)14-16-5-3-6-18(8-16)24(28)29/h2-12H,13-14H2,1H3,(H3,28,29)(H,30,32)/p+1	YAAKSJLUBVPBIM-UHFFFAOYSA-O	
ekXzB@@DJCAm`@en\bbTTbbjVbrbbRbQTtRTTVULlfnIeiEuMZjjjjj`hFbB`B`BBJLHyLd}DT@@	2avs	613.800	2.8457	-3.323	9	4	476.03	118.03	none	none	none	45	5	12	CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnccc2)C1)=O	InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/t28-,29+,31+,32-,33+/m1/s1	CBVCZFGXHXORBI-PXQQMZJSSA-N	
e`\ZD@DJEmgo`DEi^gHheDheDddeDhUiiXHiEteUM\uSU@P@A@MC@@@@	1lpk	427.507	3.1158	-2.62	7	4	296.01	134.45	none	none	none	32	0	8	NC(c1cccc(Cn(c(C(OCc2cc(C(N)=[NH2+])ccc2)=O)c2)c3c2cccc3)c1)=[NH2+]	InChI=1S/C25H23N5O2/c26-23(27)19-8-3-5-16(11-19)14-30-21-10-2-1-7-18(21)13-22(30)25(31)32-15-17-6-4-9-20(12-17)24(28)29/h1-13H,14-15H2,(H3,26,27)(H3,28,29)/p+2	ZJZBBFMRHRUCQD-UHFFFAOYSA-P	
fhi`pD@`qrQkAgIEDeDimDZB|FjjjjjidHQTSHIJP@	1v0l	250.270	-2.4559	-0.156	7	5	169.68	115.99	none	none	none	17	6	2	O[C@H](C[NH2+]CC1)[C@@H]1O[C@@H]([C@@H]([C@H]1O)O)OC[C@H]1O	InChI=1S/C10H19NO6/c12-5-3-11-2-1-7(5)17-10-9(15)8(14)6(13)4-16-10/h5-15H,1-4H2/p+1/t5-,6+,7-,8-,9-,10+/m1/s1	PUJTYTFSMIAUAX-AFNXEJLXSA-O	
e`\RL@@DJEC@MGlbbTRRTTRRRbRrRuPTVPruvqsUUUMUT@P@TPPXP@	2f1g	436.554	4.0014	-5.843	7	3	352.04	88.42	none	none	none	32	1	10	COc(cc1)ccc1NCCNC([C@H](CC1CCCCC1)Nc1nc(cccc2)c2o1)=O	InChI=1S/C25H32N4O3/c1-31-20-13-11-19(12-14-20)26-15-16-27-24(30)22(17-18-7-3-2-4-8-18)29-25-28-21-9-5-6-10-23(21)32-25/h5-6,9-14,18,22,26H,2-4,7-8,15-17H2,1H3,(H,27,30)(H,28,29)/t22-/m0/s1	VFNWTXUFNNOQHD-QFIPXVFZSA-N	
enY\B@@DDl`GNmlbbTTRRVbbtjTTrRVfbbTln~IYZ`hJJjjfBB@H`C@aZKr@@	1lf2	531.695	4.7922	-6.134	7	4	430.15	113.68	none	none	high	39	3	13	CC(C)C[C@@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)NC(c(cc1)ccc1N)=O	InChI=1S/C32H41N3O4/c1-21(2)17-27(34-32(38)25-13-15-26(33)16-14-25)19-29(36)28(18-24-11-6-5-7-12-24)35-30(37)20-39-31-22(3)9-8-10-23(31)4/h5-16,21,27-29,36H,17-20,33H2,1-4H3,(H,34,38)(H,35,37)/t27-,28-,29-/m0/s1	APJAEXGNDLFGPD-AWCRTANDSA-N	
ffca`DD@tWWYEEEEDheKhdiJlGMVjBj@@bHHD`@	3ekr	296.345	1.7466	-2.791	4	1	227.49	63.6	none	none	none	22	1	2	Cc1c([C@@H](CCC2)N2C(c(ccc(O)c2)c2[O-])=O)cccc1	InChI=1S/C18H19NO3/c1-12-5-2-3-6-14(12)16-7-4-10-19(16)18(22)15-9-8-13(20)11-17(15)21/h2-3,5-6,8-9,11,16,20-21H,4,7,10H2,1H3/p-1/t16-/m1/s1	TWODFUZHWYZBHZ-MRXNPFEDSA-M	
enYRFB@IODehDGHmdP@`fPidFYCIIBeEDdhmLXhdmmDediC@im`XUj`hIajjjh@JjHPXVR@@	2hhn	572.603	1.8231	-4.572	10	3	411.32	134.45	none	none	none	39	2	12	C[C@@H](CNc(cc1)ccc1OC(F)(F)F)NC([C@H](CS(Cc1ccccc1)(=O)=O)NC(N1CCOCC1)=O)=O	InChI=1S/C25H31F3N4O6S/c1-18(15-29-20-7-9-21(10-8-20)38-25(26,27)28)30-23(33)22(31-24(34)32-11-13-37-14-12-32)17-39(35,36)16-19-5-3-2-4-6-19/h2-10,18,22,29H,11-17H2,1H3,(H,30,33)(H,31,34)/t18-,22-/m0/s1	LIOLGHUQUQDMDF-AVRDEDQJSA-N	
enY\JJ@LFohD@mjP@cRP\BLi@ZPrRPqQIQJJYIZJkQSQI[RqHjiDeZhJ`fbjjfB`aaLEIECh@@	2qhy	583.650	2.6321	-4.626	8	3	414.72	152.43	none	none	none	39	3	11	C[C@@H](C(N[C@@H](Cc1ccccc1)[C@@H](CN(Cc1cccs1)S(c(cc(c(F)c1)F)c1F)(=O)=O)O)=O)NC(C)=O	InChI=1S/C26H28F3N3O5S2/c1-16(30-17(2)33)26(35)31-23(11-18-7-4-3-5-8-18)24(34)15-32(14-19-9-6-10-38-19)39(36,37)25-13-21(28)20(27)12-22(25)29/h3-10,12-13,16,23-24,34H,11,14-15H2,1-2H3,(H,30,33)(H,31,35)/t16-,23-,24+/m0/s1	SQOYURLVDZJWFJ-VVMYJBMMSA-N	
fbmh@D@XHgJYrQQIFJIQ[ZTXYw``PP@@Dp@@@	1sqo	264.311	2.4614	-3.336	5	3	188.68	89.42	high	high	none	20	0	3	NC(c1ccc(cccc2Nc3ncccn3)c2c1)=[NH2+]	InChI=1S/C15H13N5/c16-14(17)11-6-5-10-3-1-4-13(12(10)9-11)20-15-18-7-2-8-19-15/h1-9H,(H3,16,17)(H,18,19,20)/p+1	GRQLDCHTDNYVQI-UHFFFAOYSA-O	
ehVRJ@DDEO`PAAekeI~gHhhhdhmDhddeieecBNECDjbinmckfjij````bJfjBXpSDxbbLeT@@	1vzq	450.493	-1.0599	-2.508	9	4	305.13	132.12	none	none	none	33	6	4	NC(c1ccc([C@@H]([C@H]2C(N3Cc(cc4)cc5c4OCO5)=O)[N@@H+](C[C@@H](C4)O)[C@@H]4[C@@H]2C3=O)cc1)=[NH2+]	InChI=1S/C24H24N4O5/c25-22(26)14-4-2-13(3-5-14)21-20-19(16-8-15(29)10-27(16)21)23(30)28(24(20)31)9-12-1-6-17-18(7-12)33-11-32-17/h1-7,15-16,19-21,29H,8-11H2,(H3,25,26)/p+2/t15-,16+,19+,20-,21-/m0/s1	CETLUACQMGBMFH-GTKPJJQQSA-P	
ekXzFDHLG@ocXDIegmP@`hHBgIICEEDdheEhTeHehXiTdmmKLo@nkjQ^YUj`jBhB`ehX@@@fHABaRP@	2r38	648.783	1.916	-4.037	11	3	457.12	194.31	none	none	none	45	2	10	NC(c(cc1)ccc1S(N(Cc1ccccc1)[C@@H](C[NH2+]C1)[C@H]1N(Cc1ccccc1)S(c(cc1)ccc1C(N)=O)(=O)=O)(=O)=O)=O	InChI=1S/C32H33N5O6S2/c33-31(38)25-11-15-27(16-12-25)44(40,41)36(21-23-7-3-1-4-8-23)29-19-35-20-30(29)37(22-24-9-5-2-6-10-24)45(42,43)28-17-13-26(14-18-28)32(34)39/h1-18,29-30,35H,19-22H2,(H2,33,38)(H2,34,39)/p+1/t29-,30-/m0/s1	SSQKDDJMCKLBOH-KYJUHHDHSA-O	
eohXJDDHfO@lb`LP`HBxklbbbfbRRTTtMbRdTHxlRfVfjPhIhZjjjb@@@	2qbq	508.431	0.9471	-6.681	6	1	343.51	129.76	none	none	none	31	0	7	CC(C)(C1)CC(C)(C)CC1Nc1cccc(-c(sc(C([O-])=O)c2OCC([O-])=O)c2Br)c1	InChI=1S/C23H28BrNO5S/c1-22(2)9-15(10-23(3,4)12-22)25-14-7-5-6-13(8-14)19-17(24)18(30-11-16(26)27)20(31-19)21(28)29/h5-8,15,25H,9-12H2,1-4H3,(H,26,27)(H,28,29)/p-2	OSQARHVGUZHHGT-UHFFFAOYSA-L	
eh~tFHDAbXDLINfPOAClNrRRqQQQZJKQ[QHqISY[JZIJYJpIIjjYzGDgTwtMjhF@@B@XJBbjX@@@@``HP@	1t32	668.684	2.329	-8.371	8	0	488.06	130.69	none	high	none	49	1	7	CN(C(CC1)CCN1C(c1cc2ccccc2cc1)=O)C(c1cc2ccccc2cc1C([C@@H](c1cccc2ccccc12)P([O-])([O-])=O)=O)=O	InChI=1S/C40H35N2O6P/c1-41(32-19-21-42(22-20-32)39(44)31-18-17-26-9-2-3-11-28(26)23-31)40(45)36-25-30-13-5-4-12-29(30)24-35(36)37(43)38(49(46,47)48)34-16-8-14-27-10-6-7-15-33(27)34/h2-18,23-25,32,38H,19-22H2,1H3,(H2,46,47,48)/p-2/t38-/m1/s1	XUJQPDQURBZEGJ-KXQOOQHDSA-L	
fjmHRBLDihTeY@DTfWYHhieMJeDeeadTttsMP@U@@@	1q5k	308.317	1.3337	-3.821	8	2	228.08	137.31	high	high	none	21	0	5	COc1ccc(CNC(Nc2ncc([N+]([O-])=O)s2)=O)cc1	InChI=1S/C12H12N4O4S/c1-20-9-4-2-8(3-5-9)6-13-11(17)15-12-14-7-10(21-12)16(18)19/h2-5,7H,6H2,1H3,(H2,13,14,15,17)	YAEMHJKFIIIULI-UHFFFAOYSA-N	
el~qJHHDJFCHjij]AcbWPHbJ\bbTTtTrtVRTJbrbdubbrbbRbbhD\brjmS}C`BbfjjjijjjijB`j`hfDdmHUreUj`@	2bpy	728.356	0.0835	-3.061	13	5	561.4	155.67	none	none	none	51	6	12	C[C@@H](CC[C@H]1O)[C@@H]1NC([C@@H](C[C@@H](CN(CCN(C1)C(c(nc2Cl)cnc2N2CC[NH+](C)CC2)=O)[C@@H]1C(NC(C)(C)C)=O)O)Cc1ccccc1)=O	InChI=1S/C37H55ClN8O5/c1-24-11-12-30(48)31(24)41-34(49)26(19-25-9-7-6-8-10-25)20-27(47)22-45-17-18-46(23-29(45)35(50)42-37(2,3)4)36(51)28-21-39-33(32(38)40-28)44-15-13-43(5)14-16-44/h6-10,21,24,26-27,29-31,47-48H,11-20,22-23H2,1-5H3,(H,41,49)(H,42,50)/p+1/t24-,26+,27-,29-,30+,31-/m0/s1	SQZXWXXIPWXBCL-CYTJBAGBSA-O	
fakI@BDE[tAY[JSKLjmzn|jqoQru@@@@DTp@@@	1owh	320.395	-0.8937	-3.963	5	4	230.4	108.35	none	none	none	24	0	4	NC(c1ccc(cc(cc2)C(Nc3ccc(C[NH3+])cc3)=O)c2c1)=[NH2+]	InChI=1S/C19H18N4O/c20-11-12-1-7-17(8-2-12)23-19(24)16-6-4-13-9-15(18(21)22)5-3-14(13)10-16/h1-10H,11,20H2,(H3,21,22)(H,23,24)/p+2	NLBDETRVUYOIHQ-UHFFFAOYSA-P	
f`qp@`EZlCDIbLqAXbSLw^{\ehtDQEMQ@@@	1zoe	476.792	4.4259	-5.47	3	1	205.53	31.92	high	low	none	16	0	1	CN(C)c([nH]c1c(c(Br)c2Br)Br)nc1c2Br	InChI=1S/C9H7Br4N3/c1-16(2)9-14-7-5(12)3(10)4(11)6(13)8(7)15-9/h1-2H3,(H,14,15)	SLPJGDQJLTYWCI-UHFFFAOYSA-N	
em]RIHHFF`XXDLCKOKofPOCClddvbbRbTTrfeRRtTLJbeTfNZjjiij`hJFZjfjJ@DQJDEGh@@	1bxq	625.677	-1.5845	-3.646	13	4	484.57	215.86	none	none	none	43	5	19	CC(C)C[C@H](NC([C@H](CC(N)=O)NC([C@H](C(C)C)NC(CC(C)C)=O)=O)=O)[P@]([O-])(O[C@@H](Cc1ccccc1)C(OC)=O)=O	InChI=1S/C29H47N4O9P/c1-17(2)13-24(35)32-26(19(5)6)28(37)31-21(16-23(30)34)27(36)33-25(14-18(3)4)43(39,40)42-22(29(38)41-7)15-20-11-9-8-10-12-20/h8-12,17-19,21-22,25-26H,13-16H2,1-7H3,(H2,30,34)(H,31,37)(H,32,35)(H,33,36)(H,39,40)/p-1/t21-,22-,25+,26-/m0/s1	SGKZZKPYLILTJX-RLBRRGQKSA-M	
ea]TJL@LJhDOHe`@bpHYdLddLTRRTTTrtUVbfbRbVabVQTMIOJuPTDuEUTp@AA@``i@h@@	2qi0	582.715	4.7052	-5.385	7	2	430.07	132.56	none	none	none	40	2	11	Cc(c(F)ccc1)c1C(N[C@@H](Cc1ccccc1)[C@@H](CN(Cc1cccs1)S(c1cc(OC)ccc1)(=O)=O)O)=O	InChI=1S/C30H31FN2O5S2/c1-21-26(14-7-15-27(21)31)30(35)32-28(17-22-9-4-3-5-10-22)29(34)20-33(19-24-12-8-16-39-24)40(36,37)25-13-6-11-23(18-25)38-2/h3-16,18,28-29,34H,17,19-20H2,1-2H3,(H,32,35)/t28-,29+/m0/s1	AXUYLLZCOSCKTG-URLMMPGGSA-N	
enU^LHDLK@X\ZVXDC@@`FZYrRPjJIJIPqQIII[PjXiSSqkXXyYyZ`hF`h@hBbZi`bBa@@	2gv6	551.714	2.9028	-3.558	10	6	379.15	190.11	none	none	none	39	1	9	NC(c1cccc(C[C@@H](C(N2CCC(CCNC(N)=[NH2+])CC2)=O)NS(c2cc3ccccc3cc2)(=O)=O)c1)=[NH2+]	InChI=1S/C28H35N7O3S/c29-26(30)23-7-3-4-20(16-23)17-25(27(36)35-14-11-19(12-15-35)10-13-33-28(31)32)34-39(37,38)24-9-8-21-5-1-2-6-22(21)18-24/h1-9,16,18-19,25,34H,10-15,17H2,(H3,29,30)(H4,31,32,33)/p+2/t25-/m0/s1	BKOKSJAQZJNVPN-VWLOTQADSA-P	
fgh`dEFz^~b`bNRDYAL`^\bbbTQTVRTbLRRVcASw@QEMUUPPPp@@@	2r2m	444.864	2.2335	-3.764	7	5	307.15	114	none	none	none	30	0	10	NC(NOCCNC(Cc(c(F)c(cc1)NCC(c2ccccc2)(F)F)c1Cl)=O)=[NH2+]	InChI=1S/C19H21ClF3N5O2/c20-14-6-7-15(27-11-19(22,23)12-4-2-1-3-5-12)17(21)13(14)10-16(29)26-8-9-30-28-18(24)25/h1-7,27H,8-11H2,(H,26,29)(H4,24,25,28)/p+1	DZEJHPMTDNDECN-UHFFFAOYSA-O	
eghRJD@AKDamCHnk`HaPHrJIJYYREQQ[QPqITLBRIYGWP@TruSUSUTUHNHi@@	2j2u	454.934	0.7992	-1.942	9	2	311.81	120.19	none	none	high	30	2	4	C[C@@H](C(N1CCOCC1)=O)N(CC[C@@H]1NS(c2cc(cc(cc3)Cl)c3[nH]2)(=O)=O)C1=O	InChI=1S/C19H23ClN4O5S/c1-12(18(25)23-6-8-29-9-7-23)24-5-4-16(19(24)26)22-30(27,28)17-11-13-10-14(20)2-3-15(13)21-17/h2-3,10-12,16,21-22H,4-9H2,1H3/t12-,16-/m0/s1	BHNMMFGOJRIAEZ-LRDDRELGSA-N	
